Datetime,Tide (m)
1950-01-01,0.010313589941190008
1950-01-02,-0.00014284257739026474
1950-01-03,-0.008151893738405991
1950-01-04,-0.01662690098642765
1950-01-05,-0.023650005301140666
1950-01-06,-0.026853103430331732
1950-01-07,-0.024490534129812714
1950-01-08,-0.016309815637526596
1950-01-09,-0.003733772358122041
1950-01-10,0.010555546690576801
1950-01-11,0.02330214412797658
1950-01-12,0.03131442693856806
1950-01-13,0.03224044083249891
1950-01-14,0.025415965619243964
1950-01-15,0.012432863514398892
1950-01-16,-0.0030963969503906424
1950-01-17,-0.01669178599079568
1950-01-18,-0.024714226717960763
1950-01-19,-0.025781573435308347
1950-01-20,-0.021055108285548216
1950-01-21,-0.01321717526831503
1950-01-22,-0.004897647461733795
1950-01-23,0.0023662222609494975
1950-01-24,0.008162211930326112
1950-01-25,0.012563579744087401
1950-01-26,0.015563083142626152
1950-01-27,0.017004630104658688
1950-01-28,0.016775049261133615
1950-01-29,0.014781671633287618
1950-01-30,0.010656361059868955
1950-01-31,0.0037521538795536095
1950-02-01,-0.006093249735701615
1950-02-02,-0.01748306115404129
1950-02-03,-0.02720410804390121
1950-02-04,-0.031391685113108705
1950-02-05,-0.02754526259924699
1950-02-06,-0.016056668814496824
1950-02-07,-0.00019787326746557136
1950-02-08,0.015388488469796438
1950-02-09,0.026601117550462083
1950-02-10,0.031097970849714343
1950-02-11,0.02852021254879626
1950-02-12,0.020128082469402973
1950-02-13,0.00830193406068175
1950-02-14,-0.004042036288506666
1950-02-15,-0.014159201919162775
1950-02-16,-0.020176852630493337
1950-02-17,-0.021549348331998452
1950-02-18,-0.019016700683261667
1950-02-19,-0.014035198070735791
1950-02-20,-0.008031948016767121
1950-02-21,-0.0019462923429019406
1950-02-22,0.0037567758462938093
1950-02-23,0.008830584021044629
1950-02-24,0.01306009120939011
1950-02-25,0.016189835307762666
1950-02-26,0.017866592768400077
1950-02-27,0.017489832749291685
1950-02-28,0.014091407252800482
1950-03-01,0.006670733603026118
1950-03-02,-0.004786611838072223
1950-03-03,-0.01818543200204589
1950-03-04,-0.029286183313985848
1950-03-05,-0.03338516524905589
1950-03-06,-0.02791282259608661
1950-03-07,-0.014179180941473192
1950-03-08,0.0030677304230498567
1950-03-09,0.018046534946535173
1950-03-10,0.026674597304302234
1950-03-11,0.02789430024707461
1950-03-12,0.023128615308976936
1950-03-13,0.014823607163340321
1950-03-14,0.005293535020134843
1950-03-15,-0.003714333627391169
1950-03-16,-0.01100360861123803
1950-03-17,-0.01583682434848169
1950-03-18,-0.01790514908914639
1950-03-19,-0.01731649475364506
1950-03-20,-0.014513174272970083
1950-03-21,-0.010128078263183798
1950-03-22,-0.004836232817926144
1950-03-23,0.000720441898305853
1950-03-24,0.006017192748705525
1950-03-25,0.010705005709861595
1950-03-26,0.014527263358094728
1950-03-27,0.017056397845262368
1950-03-28,0.017449976868766832
1950-03-29,0.014510413245297595
1950-03-30,0.007245703859530839
1950-03-31,-0.004104981203679932
1950-04-01,-0.017163777701728566
1950-04-02,-0.027589491524764417
1950-04-03,-0.030849345314236276
1950-04-04,-0.024795919206724165
1950-04-05,-0.01126697407569976
1950-04-06,0.004632109125746836
1950-04-07,0.0172250314434677
1950-04-08,0.02312847945776368
1950-04-09,0.02236517801463656
1950-04-10,0.017271168477310517
1950-04-11,0.010484101745744684
1950-04-12,0.003654012662953572
1950-04-13,-0.0025655139993523376
1950-04-14,-0.007889836152598266
1950-04-15,-0.011955130803547875
1950-04-16,-0.014312214207033514
1950-04-17,-0.01465212212856772
1950-04-18,-0.012996729452201289
1950-04-19,-0.009732034845388574
1950-04-20,-0.005483870865745991
1950-04-21,-0.0009290431945717988
1950-04-22,0.003401944941912523
1950-04-23,0.007247678360784206
1950-04-24,0.010516085202663316
1950-04-25,0.012944609120530992
1950-04-26,0.013809467058651985
1950-04-27,0.01201270492288028
1950-04-28,0.006645509686113702
1950-04-29,-0.002136926298740401
1950-04-30,-0.012441708277516943
1950-05-01,-0.02080951905477441
1950-05-02,-0.023581561449922666
1950-05-03,-0.01900937148930775
1950-05-04,-0.008614003483098508
1950-05-05,0.003421223425484813
1950-05-06,0.01255539284752407
1950-05-07,0.01633699468068516
1950-05-08,0.015249195450994965
1950-05-09,0.01154165032332894
1950-05-10,0.007283613402453128
1950-05-11,0.0032951905675282084
1950-05-12,-0.0005011279231132241
1950-05-13,-0.0041597905097634745
1950-05-14,-0.007288197485021723
1950-05-15,-0.009313340881539608
1950-05-16,-0.009919618867701091
1950-05-17,-0.009219235808145362
1950-05-18,-0.007602744417003061
1950-05-19,-0.005488193663551214
1950-05-20,-0.00317177757802206
1950-05-21,-0.0007911350578415979
1950-05-22,0.0016583810069805277
1950-05-23,0.004227176639964869
1950-05-24,0.006790769696230964
1950-05-25,0.008806465389967363
1950-05-26,0.009311910688221495
1950-05-27,0.007332290365511945
1950-05-28,0.0025321973341429368
1950-05-29,-0.004201856945976665
1950-05-30,-0.010686071809314456
1950-05-31,-0.014227358747804736
1950-06-01,-0.013102630689279263
1950-06-02,-0.007761716563296436
1950-06-03,-0.0007044004240394438
1950-06-04,0.005051667122188769
1950-06-05,0.007791555417309928
1950-06-06,0.007814805312534435
1950-06-07,0.006601577237634192
1950-06-08,0.005349100850326252
1950-06-09,0.00419860631984256
1950-06-10,0.0027067794651055347
1950-06-11,0.00072403060598347
1950-06-12,-0.0013366205467766434
1950-06-13,-0.002971752639602408
1950-06-14,-0.004105254486176536
1950-06-15,-0.0050503113247116595
1950-06-16,-0.00606285685231289
1950-06-17,-0.007003396496525736
1950-06-18,-0.007398539135895434
1950-06-19,-0.006777817334029257
1950-06-20,-0.004946374843633206
1950-06-21,-0.002003301332984315
1950-06-22,0.001728643548964991
1950-06-23,0.005660216530985955
1950-06-24,0.008866621457837592
1950-06-25,0.010215339456324066
1950-06-26,0.008822967238707095
1950-06-27,0.004653705148395343
1950-06-28,-0.0011342587025257092
1950-06-29,-0.006456245902042637
1950-06-30,-0.009300103961763081
1950-07-01,-0.008901628292840321
1950-07-02,-0.00613775971851657
1950-07-03,-0.002765590148138406
1950-07-04,-0.0001271140392933486
1950-07-05,0.0015720375128249382
1950-07-06,0.0029239634181577093
1950-07-07,0.004367522928565372
1950-07-08,0.005659530361220408
1950-07-09,0.006201949233553074
1950-07-10,0.005736053767793973
1950-07-11,0.004545071284282726
1950-07-12,0.0029514632150789166
1950-07-13,0.0008447798003785369
1950-07-14,-0.00212768243200466
1950-07-15,-0.005925975200300628
1950-07-16,-0.009744549411160569
1950-07-17,-0.012308603732538378
1950-07-18,-0.012590820595034838
1950-07-19,-0.010342901071667824
1950-07-20,-0.006050611238293702
1950-07-21,-0.0005295660694697724
1950-07-22,0.00533923652169406
1950-07-23,0.010551171879532114
1950-07-24,0.01389037936559269
1950-07-25,0.014204421343494797
1950-07-26,0.011017284680962617
1950-07-27,0.005042838510816929
1950-07-28,-0.001854308170627349
1950-07-29,-0.007435975084106069
1950-07-30,-0.010223233340812909
1950-07-31,-0.010153855484474915
1950-08-01,-0.008260211020620451
1950-08-02,-0.005688836419822245
1950-08-03,-0.0029599119822505313
1950-08-04,-2.748078810495616e-05
1950-08-05,0.003130565991355643
1950-08-06,0.006084687306526016
1950-08-07,0.008145809899780393
1950-08-08,0.008918843691003174
1950-08-09,0.008510265213309129
1950-08-10,0.007120917134665485
1950-08-11,0.004573537986813375
